geoid,FIPS,geoid20,year,total_pop,snap_accepting_count,snap_rate
1400000U,06037101110,101110,2021,3879,0,0
1400000U,06037102103,102103,2021,1767,0,0
1400000U,06037102104,102104,2021,4003,0,0
1400000U,06037102105,102105,2021,1674,0,0
1400000U,06037103101,103101,2021,2481,0,0
1400000U,06037104103,104103,2021,4204,0,0
1400000U,06037104105,104105,2021,5789,0,0
1400000U,06037104703,104703,2021,2367,0,0
1400000U,06037104821,104821,2021,3514,0,0
1400000U,06037104823,104823,2021,3346,0,0
1400000U,06037106020,106020,2021,4790,0,0
1400000U,06037106111,106111,2021,4694,0,0
1400000U,06037106112,106112,2021,5167,0,0
1400000U,06037106520,106520,2021,5861,0,0
1400000U,06037106603,106603,2021,3646,0,0
1400000U,06037106641,106641,2021,2200,0,0
1400000U,06037106642,106642,2021,3421,0,0
1400000U,06037106643,106643,2021,4432,0,0
1400000U,06037106645,106645,2021,3874,0,0
1400000U,06037108101,108101,2021,2324,0,0
1400000U,06037108103,108103,2021,3064,0,0
1400000U,06037108104,108104,2021,1756,0,0
1400000U,06037108202,108202,2021,8776,0,0
1400000U,06037108203,108203,2021,3301,0,0
1400000U,06037109400,109400,2021,4285,0,0
1400000U,06037109601,109601,2021,4849,0,0
1400000U,06037109700,109700,2021,4496,0,0
1400000U,06037111204,111204,2021,5614,0,0
1400000U,06037113211,113211,2021,4121,0,0
1400000U,06037113235,113235,2021,1680,0,0
1400000U,06037113427,113427,2021,2156,0,0
1400000U,06037115104,115104,2021,4509,0,0
1400000U,06037117301,117301,2021,3732,0,0
1400000U,06037119001,119001,2021,4417,0,0
1400000U,06037119003,119003,2021,4070,0,0
1400000U,06037119320,119320,2021,4602,0,0
1400000U,06037119340,119340,2021,4034,0,0
1400000U,06037119342,119342,2021,2902,0,0
1400000U,06037119400,119400,2021,5307,0,0
1400000U,06037119700,119700,2021,4781,0,0
1400000U,06037119802,119802,2021,3313,0,0
1400000U,06037120010,120010,2021,2617,0,0
1400000U,06037120103,120103,2021,3057,0,0
1400000U,06037120106,120106,2021,4462,0,0
1400000U,06037120108,120108,2021,4517,0,0
1400000U,06037121221,121221,2021,2329,0,0
1400000U,06037121222,121222,2021,4808,0,0
1400000U,06037121600,121600,2021,2745,0,0
1400000U,06037121801,121801,2021,3374,0,0
1400000U,06037122121,122121,2021,2815,0,0
1400000U,06037122200,122200,2021,3662,0,0
1400000U,06037123020,123020,2021,2783,0,0
1400000U,06037123205,123205,2021,2767,0,0
1400000U,06037123601,123601,2021,4811,0,0
1400000U,06037123902,123902,2021,2791,0,0
1400000U,06037124203,124203,2021,2069,0,0
1400000U,06037125321,125321,2021,2718,0,0
1400000U,06037125600,125600,2021,2983,0,0
1400000U,06037127300,127300,2021,3732,0,0
1400000U,06037128303,128303,2021,3780,0,0
1400000U,06037128801,128801,2021,3807,0,0
1400000U,06037131022,131022,2021,2822,0,0
1400000U,06037131024,131024,2021,3905,0,0
1400000U,06037132501,132501,2021,4785,0,0
1400000U,06037133101,133101,2021,1683,0,0
1400000U,06037134101,134101,2021,5262,0,0
1400000U,06037134103,134103,2021,4495,0,0
1400000U,06037134302,134302,2021,4082,0,0
1400000U,06037134421,134421,2021,4421,0,0
1400000U,06037134422,134422,2021,4809,0,0
1400000U,06037134424,134424,2021,2857,0,0
1400000U,06037134905,134905,2021,5028,0,0
1400000U,06037135205,135205,2021,2067,0,0
1400000U,06037137103,137103,2021,5389,0,0
1400000U,06037137302,137302,2021,4361,0,0
1400000U,06037137504,137504,2021,2021,0,0
1400000U,06037138000,138000,2021,4839,0,0
1400000U,06037139301,139301,2021,4373,0,0
1400000U,06037139506,139506,2021,2972,0,0
1400000U,06037139703,139703,2021,2425,0,0
1400000U,06037139704,139704,2021,2765,0,0
1400000U,06037139705,139705,2021,3995,0,0
1400000U,06037139801,139801,2021,3518,0,0
1400000U,06037139802,139802,2021,3878,0,0
1400000U,06037141305,141305,2021,2625,0,0
